,LONGUEUR MOYENNE,LONGUEUR MAX,LONGUEUR MIN,ECART TYPE,LONGUEUR MEDIANE,PREMIER QUARTILE,TROISIEME QUARTILE
COMEDY,38.764,293,16,28.525853256300678,38.764,26.0,40.0
FAMILY,37.28,220,16,23.876381635415363,37.28,24.0,40.0
SCI-FI,45.316,465,16,39.58080524698809,45.316,26.0,43.0
FANTASY,37.704,263,16,26.77043862173349,37.704,25.0,40.0
